show_id,name,url,type,language,genres,status,runtime,averageRuntime,premiered,officialSite,schedule_time,schedule_days,weight,webchannnel_id,externals,image,summary
42305,The Expanding Universe of Ashley Garcia,https://www.tvmaze.com/shows/42305/the-expanding-universe-of-ashley-garcia,Scripted,English,"['Comedy', 'Family']",Ended,,29.0,2020-02-17,https://www.netflix.com/title/80244332,,['Monday'],80,1,"{'tvrage': None, 'thetvdb': 376599, 'imdb': 'tt10380934'}",https://static.tvmaze.com/uploads/images/original_untouched/240/600617.jpg,"When Ashley Garcia — the world's only 15-and-a-half-year-old robotics engineer and rocket scientist — gets the chance to work for NASA, she moves across the country to live with her fun-loving Uncle Victor, a pro football player turned high school coach who's never met a responsibility he can't shirk."
43209,The Big Show Show,https://www.tvmaze.com/shows/43209/the-big-show-show,Scripted,English,['Comedy'],Ended,25.0,27.0,2020-04-06,https://www.netflix.com/title/80201035,,[],84,1,"{'tvrage': None, 'thetvdb': 377281, 'imdb': 'tt10726356'}",https://static.tvmaze.com/uploads/images/original_untouched/249/624694.jpg,"When the teenage daughter of The Big Show, a retired world-famous WWE Superstar comes to live with him, his wife and two other daughters, he quickly becomes outnumbered and outsmarted. Despite being 7 feet tall and weighing 400 pounds, he is no longer the center of attention."
43910,A Conversation With,https://www.tvmaze.com/shows/43910/a-conversation-with,Talk Show,English,['Comedy'],Ended,,91.0,2017-07-02,https://www.youtube.com/channel/UCahfy_XV7nFYceg6GIthwMQ/videos,,['Wednesday'],17,21,"{'tvrage': None, 'thetvdb': 369796, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/211/529697.jpg,A podcast by Philip DeFranco.
45397,Helluva Boss,https://www.tvmaze.com/shows/45397/helluva-boss,Animation,English,"['Comedy', 'Fantasy', 'Horror']",Running,,18.0,2019-11-25,,,[],88,21,"{'tvrage': None, 'thetvdb': 372854, 'imdb': 'tt10691770'}",https://static.tvmaze.com/uploads/images/original_untouched/230/576988.jpg,"Follow Blitz, a classic demon Imp who sets out to run his own small assassin business with his weapons specialist Moxxie, his bruiser Millie, and his receptionist hellhound Loona. Together they attempt to survive each other while running a startup in Hell."
48753,Let's Play Challenge,https://www.tvmaze.com/shows/48753/lets-play-challenge,Talk Show,Thai,['Comedy'],Ended,15.0,15.0,2016-04-01,,,[],13,88,"{'tvrage': None, 'thetvdb': None, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/262/655058.jpg,A comedy show where Jennie Panhan hosts guests and plays challenges with them.
50888,My Bromance 2: 5 Years Later,https://www.tvmaze.com/shows/50888/my-bromance-2-5-years-later,Scripted,Thai,"['Drama', 'Romance']",Ended,60.0,60.0,2020-12-09,https://tv.line.me/mybromance2,,['Wednesday'],38,88,"{'tvrage': None, 'thetvdb': None, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/276/690444.jpg,"Five years have passed since Golf ""passed away"". Bank has never forgotten the love and sacrifice from his step-brother. On the day of his graduation from a university in Chiang Mai, Bank found out that Golf is actually still alive. The two brothers will finally meet again with many unanswered questions during those five years, in a time where society has changed. And their new and old friends are ready to help them grow their love tree again."
51992,The Surgeon's Cut,https://www.tvmaze.com/shows/51992/the-surgeons-cut,Documentary,English,['Medical'],To Be Determined,,54.0,2020-12-09,https://www.netflix.com/title/81004466,,[],43,1,"{'tvrage': None, 'thetvdb': 392104, 'imdb': 'tt13487106'}",https://static.tvmaze.com/uploads/images/original_untouched/284/710019.jpg,"The Surgeon's Cut profiles four ground-breaking surgeons from around the world, each with a visionary approach to their craft. Viewers will follow along as they perform innovative operations and procedures, and reveal personal insight into their journey into medicine, providing a unique window into the world of surgery. Through the individual stories of these experts, the series explores how our understanding of the human body is constantly being reinvented by new discoveries and techniques. Specialty areas featured include fetal medicine, neurosurgery, transplant surgery and cardiology. "
54834,Arm Share,https://www.tvmaze.com/shows/54834/arm-share,Variety,Thai,['Comedy'],Running,,20.0,2019-04-16,https://tv.line.me/v/8140773_%E0%B8%AB%E0%B8%A5%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%87%E0%B8%81%E0%B8%A3%E0%B8%B2%E0%B8%99%E0%B8%95%E0%B9%8C%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B9%84%E0%B8%AB%E0%B8%A1%E0%B9%89-%E0%B8%94%E0%B8%B9%E0%B9%81%E0%B8%A5%E0%,,['Wednesday'],71,88,"{'tvrage': None, 'thetvdb': None, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/309/774488.jpg,"Arm Weerayut hosts a variety show where he discusses culture, his work at GMMTV, and hosts his coworkers for special guest interviews!"
45155,Canal Boat Diaries,https://www.tvmaze.com/shows/45155/canal-boat-diaries,Documentary,English,['Travel'],Running,30.0,30.0,2019-11-18,https://www.bbc.co.uk/programmes/m000bks0,19:30,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']",35,[],"{'tvrage': None, 'thetvdb': None, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/226/565494.jpg,Jump aboard with Robbie Cumming as he embarks on a 300-mile journey across the Midlands and northern England in his narrowboat.
34010,Азбуки Смешариков,https://www.tvmaze.com/shows/34010/azbuki-smesarikov,Animation,Russian,"['Children', 'Family']",Running,,3.0,2006-10-11,http://www.smeshariki.ru,08:10,['Sunday'],29,21,"{'tvrage': None, 'thetvdb': 262223, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/139/347681.jpg,
10892,Трое из Простоквашино,https://www.tvmaze.com/shows/10892/troe-iz-prostokvasino,Animation,Russian,"['Children', 'Family']",Running,7.0,14.0,1978-06-10,https://okko.tv/serial/prostokvashino,12:00,[],41,[],"{'tvrage': None, 'thetvdb': 255564, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/51/128137.jpg,
48683,Исповедь,https://www.tvmaze.com/shows/48683/ispoved,Documentary,Russian,[],Ended,48.0,47.0,2020-05-11,https://premier.one/collections/134,12:00,['Monday'],5,281,"{'tvrage': None, 'thetvdb': None, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/285/713049.jpg,"This is not an interview, this is a confession. Revelations of the artist in the form of a monologue. The guest's opinion may not coincide with the opinion of the PREMIER platform editorial board."
52782,Mr. Right is Here!,https://www.tvmaze.com/shows/52782/mr-right-is-here,Scripted,Chinese,"['Drama', 'Comedy', 'Romance']",Ended,45.0,45.0,2020-12-10,,,"['Thursday', 'Friday', 'Saturday']",14,118,"{'tvrage': None, 'thetvdb': None, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/291/729462.jpg,"‎The fashion company faced a crisis. Sun Chi, the young owner of the company, at a critical moment took over the management and became the new CEO. He promised his father that in three months he would be able to promote the project ""promoting fashion"" that will help to get out of the crisis. ‎ ‎Gio Intao, who wanted to be the queen of the fashion industry, by coincidence got into the company and became subordinate to the ""devil"", a young gene. Director Sun Chi.‎   ‎Sun Chi and Xiao Intao led a fashion company to resolve the crisis and open new markets, allowing Chinese fashion brands to enter the global market step by step. At the same time, they begin to feel each other.‎"
53072,KL Gangster: Underworld,https://www.tvmaze.com/shows/53072/kl-gangster-underworld,Scripted,Malay,"['Drama', 'Action', 'Crime']",Running,45.0,45.0,2018-08-16,https://www.iflix.com/title/show/14723,12:00,"['Thursday', 'Friday']",29,365,"{'tvrage': None, 'thetvdb': None, 'imdb': 'tt11347388'}",https://static.tvmaze.com/uploads/images/original_untouched/293/734511.jpg,"Shah, heir to the Kg Baru Gangster throne, decides to cut ties with the underworld after falling in love with a girl from a rival gang. Things spin out of control when he's asked to do ""one last job"" and he unwittingly discovers a plot that will change the fate of the KL Gangsters forever."
53609,Shikol,https://www.tvmaze.com/shows/53609/shikol,Scripted,Bengali,"['Drama', 'Thriller']",Ended,,,2020-12-10,,,[],8,426,"{'tvrage': None, 'thetvdb': None, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/297/742543.jpg,"Shikol is the story of a extremely beautiful girl with extremely bad luck. Beauty seems enemy in her case. The role of fate dominates the story. The protagonist Nandini's struggle, love, seduction &amp; suffering are the key features of this story."
50164,Sokağın Çocukları,https://www.tvmaze.com/shows/50164/sokagin-cocuklari,Scripted,Turkish,"['Drama', 'Action', 'Crime']",Running,,40.0,2020-02-06,https://www.blutv.com/int/diziler/yerli/sokagin-cocuklari,,['Thursday'],61,222,"{'tvrage': None, 'thetvdb': 377027, 'imdb': 'tt10476258'}",https://static.tvmaze.com/uploads/images/original_untouched/271/679265.jpg,"The Children of the Street tells the story of young people who have to achieve their own justice in a world where law is inadequate. ""What is justice?"", ""How does a teenager survive on the street?"" will answer questions like."
52413,Growing Season,https://www.tvmaze.com/shows/52413/growing-season,Scripted,Korean,"['Drama', 'Romance']",Ended,20.0,22.0,2020-12-10,https://tv.naver.com/v/17144248?query=%EC%9E%98+%ED%95%98%EA%B3%A0+%EC%8B%B6%EC%96%B4&plClips=false:17144248:17132955:17153340:17036806:16923470:15061776:16756597:15309676:4080016:8115386:3149253:3149255:13484406:13654248:15415713:8226955:4632218:111,19:00,"['Thursday', 'Friday']",25,30,"{'tvrage': None, 'thetvdb': 393743, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/288/721762.jpg,Campus romance of three woman who each have a different goal in their love &amp; life (love life). the curious one Ah In; the liberate on Ji Yoo; the perfectionist Ha Young.
33928,The Game Awards,https://www.tvmaze.com/shows/33928/the-game-awards,Award Show,English,[],Running,,,2014-12-05,http://thegameawards.com,,['Monday'],30,21,"{'tvrage': None, 'thetvdb': 338875, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/138/346433.jpg,
39794,Бар в большом городе,https://www.tvmaze.com/shows/39794/bar-v-bolsom-gorode,Talk Show,Russian,['Comedy'],Running,58.0,63.0,2018-02-21,https://www.youtube.com/channel/UCUbJYQmp_gAQWtaZn0ddO1w/videos,,['Thursday'],35,21,"{'tvrage': None, 'thetvdb': None, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/175/438122.jpg,
46410,The Secret,https://www.tvmaze.com/shows/46410/the-secret,Scripted,Thai,[],Ended,60.0,60.0,2020-12-10,https://tv.line.me/thesecret,,['Thursday'],32,88,"{'tvrage': None, 'thetvdb': None, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/285/712857.jpg,"Dome, a hot commercial director, is in a relationship with Nicha but still secretly sleeps around with other girls, such as Dao, a cosmetic brand owner who's hired Nicha's company for her brand's showcase event. The reveal is hosted by the new presenter Mimi, who is Nicha's junior and also another one of Dome's flings. Also at the event are Saai, a ballet teacher for kids that Dome hired to dance at this event, and Rin, Nicha's secretary, with whom Dome is also both having a relationship."
50036,Alice in Borderland,https://www.tvmaze.com/shows/50036/alice-in-borderland,Scripted,Japanese,"['Drama', 'Science-Fiction', 'Mystery']",Running,,48.0,2020-12-10,https://www.netflix.com/title/80200575,,[],96,1,"{'tvrage': None, 'thetvdb': 376472, 'imdb': 'tt10795658'}",https://static.tvmaze.com/uploads/images/original_untouched/283/707732.jpg,"With his two friends, a video-game-obsessed young man finds himself in a strange version of Tokyo where they must compete in dangerous games to survive."
50889,OffGun Mommy Taste,https://www.tvmaze.com/shows/50889/offgun-mommy-taste,Variety,Thai,"['Comedy', 'Food']",Ended,25.0,25.0,2020-08-06,https://www.youtube.com/playlist?list=PLszepnkojZI4J2dx0I-XXIIiTZlqMDuOX,,['Thursday'],62,21,"{'tvrage': None, 'thetvdb': None, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/276/690451.jpg,Off and Gun visit the homes of their friends and taste their mother's cooking before pitting their cooking skills against that of their friends' in a competition to best recreate the dish.
52806,Ultimate Note,https://www.tvmaze.com/shows/52806/ultimate-note,Scripted,Chinese,"['Drama', 'Comedy', 'Adventure']",Ended,45.0,45.0,2020-12-10,https://www.iqiyi.com/a_nvzsmw0tgx.html,,"['Thursday', 'Friday', 'Saturday']",29,67,"{'tvrage': None, 'thetvdb': 393229, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/291/729820.jpg,"Curious about his uncle's past, Wu Xie watched a mysterious videotape, only to find himself mixed up in an elaborate conspiracy. In his adventures, he encountered Zhang Qi Ling, Xie Yu Chen, and others. "
53081,Спалах,https://www.tvmaze.com/shows/53081/spalah,Documentary,Ukrainian,[],Ended,45.0,49.0,2020-11-25,https://www.youtube.com/playlist?list=PLF5PHoWYjkoqvh1NVWCHLb6SbGD1IciUb,,[],14,21,"{'tvrage': None, 'thetvdb': None, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/294/735002.jpg,
53698,The Shore,https://www.tvmaze.com/shows/53698/the-shore,Scripted,Tagalog,"['Drama', 'Romance']",Ended,30.0,30.0,2020-12-10,https://www.youtube.com/playlist?list=PLoMgumH1LP5FbfBiHjfwPzd_3xgAmRTpg,,"['Monday', 'Thursday', 'Friday', 'Saturday', 'Sunday']",17,21,"{'tvrage': None, 'thetvdb': 392252, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/297/743815.jpg,"The Shore follows the story of DEXTER-Dacin Schon, a lost/stranded guy on an island who finds SIMON-Miguel Ching, a companion, they fall in love with each other despite their differences in their principles of life. But when the real partner of the DEXTER came to rescue him they got separated and they discover the guy whom he fell in love with on the island."
59261,"Ок, Аліна",https://www.tvmaze.com/shows/59261/ok-alina,Documentary,Ukrainian,['Comedy'],Ended,13.0,13.0,2020-06-30,https://www.youtube.com/playlist?list=PLPnX89fQLdskihFM8ISREQnrdsqSQrQCN,,['Thursday'],7,21,"{'tvrage': None, 'thetvdb': None, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/379/949668.jpg,"Alina Sheremeta's show features provocative themes, various formats, selected jokes and top-class irony.  These are reports, discussions, travel blogs, and explainers. It's better than Wikipedia and Google."
62901,Lazarevatut,https://www.tvmaze.com/shows/62901/lazarevatut,Talk Show,Russian,[],Running,60.0,62.0,2020-06-25,https://www.youtube.com/user/lazarevatatka1,,['Thursday'],33,21,"{'tvrage': None, 'thetvdb': None, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/414/1037048.jpg,
26643,Summer Camp Island,https://www.tvmaze.com/shows/26643/summer-camp-island,Animation,English,"['Comedy', 'Adventure', 'Fantasy']",To Be Determined,,11.0,2018-07-07,https://play.hbomax.com/series/urn:hbo:series:GXkyDLAgeBY7CZgEAACHO,,[],43,329,"{'tvrage': None, 'thetvdb': 338738, 'imdb': 'tt8146760'}",https://static.tvmaze.com/uploads/images/original_untouched/382/956804.jpg,"Set in a world of anthropomorphic animals, Summer Camp Island follows two best friends Oscar, and Hedgehog, and Oscar who are dropped off at a surreal summer camp. The camp is a host to many odd occurrences such as: camp counselors who are composed of popular girls who know magic, horses that transform into unicorns, talking sharks, post-it notes that lead to other dimensions and nosy monsters that live under the bed. Oscar and Hedgehog must contend with these out of place events and make their stay at camp worthwhile."
44654,House of Ho,https://www.tvmaze.com/shows/44654/house-of-ho,Reality,English,[],Ended,,31.0,2020-12-10,https://play.hbomax.com/series/urn:hbo:series:GXvTTlQwJdcLDGQEAAAMj,,[],90,329,"{'tvrage': None, 'thetvdb': 382296, 'imdb': 'tt12355298'}",https://static.tvmaze.com/uploads/images/original_untouched/288/720640.jpg,"House of Ho follows multi-generational Ho family, led by patriarch Binh Ho and his wife, Hue Ho, the power couple immigrated from Vietnam to the United States with little money, relying on hard work to establish the ultimate American dream. They have built a multi-million dollar bank, a real estate development company and a new generation of American Ho's. The series pulls back the curtain of their lavish Houston lifestyle and showcases the tight family connections that unite them as well as the multi-generational outrageous drama that ensues. While Binh and Hue have laid down a golden foundation for their children, Judy Ho and Washington Ho (yes, named after the nation's founding father and whose kids are named Lincoln and Roosevelt), they are not exempt from the constant pressure to achieve and to live up to their parents' lofty expectations. Despite the power struggles, at the end of the day, the Ho household is filled with love, laughter, and a few designer handbags, of course."
48041,Esme & Roy,https://www.tvmaze.com/shows/48041/esme-roy,Animation,English,"['Adventure', 'Children', 'Fantasy']",To Be Determined,10.0,10.0,2018-08-18,https://play.hbomax.com/page/urn:hbo:page:GXsglJQS-CIsfsAEAAABI:type:series,,[],36,329,"{'tvrage': None, 'thetvdb': 350883, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/259/649564.jpg,Esme and Roy are best friends — and the best monstersitters in Monsterdale! The animated series from the makers of Sesame Street will bring little viewers into a colorful world where even the littlest monsters can overcome big challenges together.
50302,Haute Dog,https://www.tvmaze.com/shows/50302/haute-dog,Reality,English,[],To Be Determined,28.0,28.0,2020-09-24,https://play.hbomax.com/page/urn:hbo:page:GX2TedgOIjh6fnAEAAAFJ:type:series,,[],30,329,"{'tvrage': None, 'thetvdb': 388311, 'imdb': 'tt13064206'}",https://static.tvmaze.com/uploads/images/original_untouched/295/738702.jpg,Haute Dog is a head-to-tail dog grooming creative competition series showcasing canine breeds of all kinds.
38617,Cash Investigation,https://www.tvmaze.com/shows/38617/cash-investigation,Documentary,French,[],Running,,135.0,2012-04-27,https://www.france.tv/france-2/cash-investigation/,20:55,['Tuesday'],7,252,"{'tvrage': None, 'thetvdb': 260208, 'imdb': 'tt2229330'}",https://static.tvmaze.com/uploads/images/original_untouched/167/418522.jpg,
44135,Snackmasters,https://www.tvmaze.com/shows/44135/snackmasters,Reality,English,['Food'],To Be Determined,60.0,60.0,2019-10-01,https://www.channel4.com/programmes/snackmasters,21:20,['Tuesday'],42,52,"{'tvrage': None, 'thetvdb': 370055, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/217/543201.jpg,"Fred Sirieix sets an extraordinary challenge for top chefs - to try to work out the secret techniques and recipes behind some of Britain's best-loved snacks, before creating their own replica."
16078,Tin Star,https://www.tvmaze.com/shows/16078/tin-star,Scripted,English,"['Drama', 'Crime', 'Thriller']",Ended,,58.0,2017-09-07,https://www.sky.com/watch/channel/sky-atlantic/tin-star,,[],94,117,"{'tvrage': None, 'thetvdb': 325720, 'imdb': 'tt4607112'}",https://static.tvmaze.com/uploads/images/original_untouched/284/710858.jpg,"A contemporary take on the Western genre, Tin Star tells the story of Jim Worth, an ex-Metropolitan Police detective who starts a new life in Canada's Rocky Mountains.Set in a remote Canadian mountain town, where the opening of a new oil refinery fronted by the mysterious Mrs. Bradshaw introduces the small town to a world of drug-dealers, prostitution and organized crime. Police chief Jim Worth is thirsty for revenge after the murder of a member of his family."
50594,Cage Warriors,https://www.tvmaze.com/shows/50594/cage-warriors,Sports,English,[],Running,120.0,120.0,2002-07-27,https://cagewarriors.com,21:00,['Friday'],47,45,"{'tvrage': None, 'thetvdb': 388898, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/401/1004364.jpg,"Cage Warriors is a mixed martial arts promotion, based in London. The promotion was established in 2001 and staged its first MMA event in London in July, 2002. "
20734,Fox Spirit Matchmaker,https://www.tvmaze.com/shows/20734/fox-spirit-matchmaker,Animation,Chinese,"['Comedy', 'Anime', 'Fantasy', 'Romance']",Running,10.0,10.0,2015-06-26,http://www.bilibili.com/bangumi/%E7%8B%90%E5%A6%96%E5%B0%8F%E7%BA%A2%E5%A8%98/,,['Friday'],55,51,"{'tvrage': None, 'thetvdb': 310311, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/73/183375.jpg,"Buy UCO from childhood grew up in the clan, Ichigo, but their ""care"" was for him a living Hell. Constant bullying, stealing the Goodies, without which Ycu can not live, and even eternal persecution, from the fair sex turned him into a goner cheapskate who wants to take revenge on his tormentors. But revenge is sweet and the path to it is thorny and to accomplish, UCU need to marry a girl Yes, as soon as possible. But when the heroes just happen? Never! And meeting with the small and the big-eared Fox Susan su su did not just destroy his plans, but starts spinning the wheel of fate that was waiting in the wings for hundreds of years!"
50467,Bebaakee,https://www.tvmaze.com/shows/50467/bebaakee,Scripted,Hindi,"['Drama', 'Romance']",Ended,20.0,20.0,2020-08-30,https://www.zee5.com/zee5originals/details/bebaakee/0-6-2909,12:00,"['Monday', 'Wednesday', 'Friday', 'Sunday']",15,358,"{'tvrage': None, 'thetvdb': 388625, 'imdb': 'tt11992162'}",https://static.tvmaze.com/uploads/images/original_untouched/273/684792.jpg,"Sufiyaan and Imtiaz are like brothers, and together they run one of the biggest media houses in Manali. But what will happen when they both fall for the same woman- Kainaat? And whom will she choose - a good friend or a bebaak lover?"
54381,Triples,https://www.tvmaze.com/shows/54381/triples,Scripted,Tamil,[],Ended,,,2020-12-11,https://www.hotstar.com/in/tv/triples/1260048875?utm_source=gwa,,[],18,164,"{'tvrage': None, 'thetvdb': 393217, 'imdb': 'tt12299956'}",https://static.tvmaze.com/uploads/images/original_untouched/301/753548.jpg,"Three besties, one dream café. It's anything but a cakewalk with shifty employees, angry politicians, crazy loan sharks and exes with whys."
45987,Έτερος Εγώ: Χαμένες Ψυχές,https://www.tvmaze.com/shows/45987/eteros-ego-chamenes-psyches,Scripted,Greek,"['Crime', 'Horror', 'Thriller']",To Be Determined,50.0,50.0,2019-06-16,,,['Sunday'],35,376,"{'tvrage': None, 'thetvdb': 365556, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/237/594908.jpg,"A series of murders alarm the police authorities, as strange symbolisms are traced to every crime scene. The eccentric professor of criminology Dimitris Lainis is asked to shed some light on the mystery. "
